Imp_B365H,Imp_B365D,Imp_B365A,Imp_BbAvH,Imp_BbAvD,Imp_BbAvA,Imp_PSCH,Imp_PSCD,Imp_PSCA,BbOU,BbAHh,BbAv_gt_2_5,BbAv_lt_2_5,HomeTeam_enc,AwayTeam_enc,Div_enc,Home_Wins_Last5,Home_Draws_Last5,Home_Losses_Last5,Away_Wins_Last5,Away_Draws_Last5,Away_Losses_Last5,Draws_Diff_Last5,Wins_Diff_Last5,Losses_Diff_Last5,FTR,FTR_enc
0.4,0.3225806451612903,0.3448275862068966,0.3861003861003861,0.3246753246753247,0.3546099290780142,0.3731343283582089,0.3144654088050314,0.3333333333333333,34.0,-0.25,2.15,1.7,112,76,2,1.0,1.0,3.0,0.0,4.0,1.0,3.0,1.0,2.0,H,2
0.23094688221709,0.2857142857142857,0.5464480874316939,0.2212389380530973,0.2840909090909091,0.5494505494505494,0.2188183807439825,0.2724795640326976,0.5291005291005292,35.0,0.75,1.98,1.83,48,116,0,2.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,D,1
0.7142857142857143,0.2105263157894736,0.125,0.7092198581560284,0.2197802197802197,0.1291989664082687,0.7142857142857143,0.1897533206831119,0.1135073779795686,29.0,-1.25,1.61,2.28,44,121,1,3.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,3.0,H,2
0.4761904761904761,0.2941176470588235,0.2857142857142857,0.4608294930875576,0.2985074626865671,0.2994011976047904,0.4566210045662101,0.2906976744186046,0.273972602739726,37.0,0.0,1.85,1.95,6,31,1,2.0,3.0,0.0,4.0,1.0,0.0,2.0,2.0,0.0,A,0
0.5235602094240838,0.2941176470588235,0.238095238095238,0.5263157894736842,0.2941176470588235,0.2369668246445497,0.5076142131979695,0.28328611898017,0.2304147465437788,37.0,-0.5,2.03,1.78,125,129,1,0.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,H,2
0.23094688221709,0.2777777777777778,0.5464480874316939,0.2304147465437788,0.2824858757062147,0.5464480874316939,0.2132196162046908,0.2577319587628866,0.5494505494505494,37.0,0.5,1.78,2.03,51,85,1,3.0,0.0,2.0,2.0,3.0,0.0,3.0,1.0,2.0,A,0
0.6369426751592356,0.25,0.1666666666666666,0.6369426751592356,0.2518891687657431,0.1686340640809443,0.6451612903225806,0.2252252252252252,0.1515151515151515,34.0,-1.0,1.66,2.21,86,131,1,4.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,A,0
0.2105263157894736,0.2666666666666666,0.5780346820809249,0.2169197396963123,0.2754820936639118,0.5649717514124294,0.2028397565922921,0.2557544757033248,0.5617977528089888,36.0,0.75,1.82,1.99,99,77,1,0.0,3.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,A,0
0.8333333333333334,0.1666666666666666,0.0666666666666666,0.8264462809917356,0.1642036124794745,0.0733137829912023,0.8474576271186441,0.131578947368421,0.0421940928270042,31.0,-1.75,1.62,2.25,104,119,2,3.0,2.0,0.0,2.0,0.0,3.0,2.0,1.0,3.0,H,2
0.3125,0.3333333333333333,0.4166666666666667,0.3289473684210526,0.3278688524590164,0.4081632653061224,0.3134796238244514,0.3194888178913738,0.3875968992248061,26.0,0.25,2.41,1.53,93,92,2,0.0,1.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,A,0
0.6944444444444444,0.23094688221709,0.1428571428571428,0.6756756756756757,0.2386634844868735,0.1477104874446085,0.6802721088435374,0.2136752136752137,0.1273885350318471,32.0,-1.0,1.67,2.19,75,56,0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,H,2
0.4347826086956522,0.2941176470588235,0.3333333333333333,0.4484304932735426,0.2915451895043731,0.3215434083601286,0.4291845493562232,0.2710027100271003,0.3205128205128205,34.0,-0.25,1.71,2.12,100,127,0,2.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,A,0
0.1666666666666666,0.25,0.6535947712418301,0.1727115716753022,0.2392344497607655,0.6493506493506493,0.1692047377326565,0.2049180327868852,0.6451612903225806,26.0,1.0,1.47,2.61,142,14,0,2.0,1.0,2.0,5.0,0.0,0.0,1.0,3.0,2.0,A,0
0.3333333333333333,0.3333333333333333,0.4,0.3378378378378378,0.3246753246753247,0.4032258064516129,0.2967359050445103,0.3205128205128205,0.4032258064516129,26.0,0.0,2.44,1.52,133,132,2,0.0,2.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,A,0
0.5882352941176471,0.2666666666666666,0.2105263157894736,0.5813953488372093,0.2724795640326976,0.2083333333333333,0.6211180124223602,0.2331002331002331,0.1672240802675585,35.0,-0.75,1.91,1.89,83,16,4,3.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,H,2
0.4545454545454545,0.3333333333333333,0.2777777777777778,0.4629629629629629,0.3144654088050314,0.2890173410404624,0.4166666666666667,0.3095975232198142,0.2932551319648093,28.0,-0.25,2.13,1.68,97,13,2,1.0,4.0,0.0,1.0,0.0,4.0,4.0,0.0,4.0,D,1
0.5714285714285714,0.2666666666666666,0.2222222222222222,0.5681818181818182,0.2732240437158469,0.2207505518763796,0.5524861878453039,0.2570694087403599,0.2100840336134453,35.0,-0.75,1.74,2.09,61,11,0,2.0,0.0,3.0,0.0,1.0,4.0,1.0,2.0,1.0,D,1
