,Imp_B365H,Imp_B365D,Imp_B365A,Imp_BbAvH,Imp_BbAvD,Imp_BbAvA,Imp_PSCH,Imp_PSCD,Imp_PSCA,BbOU,BbAHh,BbAv_gt_2_5,BbAv_lt_2_5,HomeTeam_enc,AwayTeam_enc,Div_enc,Home_Wins_Last5,Home_Draws_Last5,Home_Losses_Last5,Away_Wins_Last5,Away_Draws_Last5,Away_Losses_Last5,Draws_Diff_Last5,Wins_Diff_Last5,Losses_Diff_Last5,FTR,FTR_enc,HomeTeam,AwayTeam,Date
18301,0.25,0.29411764705882354,0.5235602094240838,0.2597402597402597,0.2881844380403458,0.5154639175257733,0.28901734104046245,0.2747252747252747,0.4566210045662101,33.0,0.75,1.64,2.24,190,21,0,4.0,1.0,0.0,5.0,0.0,0.0,1.0,-1.0,0.0,A,0,Schalke 04,Bayern Munich,2012-09-22
18302,0.5555555555555556,0.26666666666666666,0.23809523809523808,0.5555555555555556,0.2808988764044944,0.22727272727272727,0.5181347150259068,0.2747252747252747,0.22624434389140272,31.0,-0.75,1.83,1.96,237,91,0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,D,1,Wolfsburg,Greuther Furth,2012-09-22
18303,0.4,0.29411764705882354,0.37037037037037035,0.4016064257028112,0.2958579881656805,0.3663003663003663,0.35211267605633806,0.273972602739726,0.3968253968253968,34.0,0.0,1.74,2.08,100,95,0,0.0,0.0,5.0,3.0,1.0,1.0,-1.0,-3.0,4.0,H,2,Hoffenheim,Hannover,2012-09-23
18304,0.5235602094240838,0.2777777777777778,0.2631578947368421,0.5025125628140703,0.29239766081871343,0.26881720430107525,0.44052863436123346,0.2898550724637681,0.2898550724637681,33.0,-0.5,1.88,1.91,124,133,0,3.0,0.0,2.0,2.0,2.0,1.0,-2.0,1.0,1.0,D,1,Leverkusen,M'gladbach,2012-09-23
18305,0.5235602094240838,0.2777777777777778,0.26666666666666666,0.5208333333333334,0.2849002849002849,0.25839793281653745,0.47393364928909953,0.27322404371584696,0.27322404371584696,23.0,-0.5,1.56,2.35,232,206,0,1.0,0.0,4.0,1.0,1.0,3.0,-1.0,0.0,1.0,D,1,Werder Bremen,Stuttgart,2012-09-23
18306,0.8333333333333334,0.15384615384615385,0.07692307692307693,0.8333333333333334,0.14970059880239522,0.07127583749109052,0.8474576271186441,0.11890606420927467,0.05268703898840885,24.0,-2.0,1.37,2.95,21,237,0,5.0,0.0,0.0,1.0,2.0,2.0,-2.0,4.0,-2.0,H,2,Bayern Munich,Wolfsburg,2012-09-25
18307,0.23809523809523808,0.26666666666666666,0.5555555555555556,0.2173913043478261,0.2645502645502646,0.5747126436781609,0.1972386587771203,0.2617801047120419,0.5617977528089888,35.0,0.75,1.64,2.26,71,66,0,4.0,0.0,1.0,3.0,1.0,1.0,-1.0,1.0,0.0,D,1,Ein Frankfurt,Dortmund,2012-09-25
18308,0.46511627906976744,0.3076923076923077,0.2857142857142857,0.4484304932735426,0.30959752321981426,0.30120481927710846,0.4716981132075471,0.2949852507374631,0.25380710659898476,35.0,-0.25,2.26,1.64,91,81,0,1.0,1.0,2.0,1.0,3.0,0.0,-2.0,0.0,2.0,A,0,Greuther Furth,Fortuna Dusseldorf,2012-09-25
18309,0.6369426751592356,0.2631578947368421,0.16666666666666666,0.6578947368421053,0.24570024570024568,0.15479876160990713,0.6369426751592356,0.23980815347721823,0.14430014430014432,35.0,-1.0,1.67,2.2,190,134,0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,-2.0,H,2,Schalke 04,Mainz,2012-09-25
18310,0.3125,0.30303030303030304,0.4444444444444444,0.32679738562091504,0.3048780487804878,0.4291845493562232,0.2557544757033248,0.27624309392265195,0.49019607843137253,35.0,0.25,2.06,1.76,15,124,0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,-1.0,1.0,A,0,Augsburg,Leverkusen,2012-09-26
18311,0.4,0.29411764705882354,0.37037037037037035,0.38759689922480617,0.2949852507374631,0.3787878787878788,0.4329004329004329,0.2785515320334262,0.30959752321981426,32.0,0.0,1.67,2.17,82,232,0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,-1.0,A,0,Freiburg,Werder Bremen,2012-09-26
18312,0.47619047619047616,0.29411764705882354,0.29411764705882354,0.4694835680751174,0.29850746268656714,0.29325513196480935,0.47619047619047616,0.27548209366391185,0.26881720430107525,33.0,-0.25,1.86,1.94,95,162,0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,-1.0,H,2,Hannover,Nurnberg,2012-09-26
18313,0.5235602094240838,0.2857142857142857,0.25,0.53475935828877,0.28735632183908044,0.23980815347721823,0.5586592178770949,0.24813895781637715,0.2145922746781116,34.0,-0.5,1.87,1.93,133,94,0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,-3.0,D,1,M'gladbach,Hamburg,2012-09-26
18314,0.5464480874316939,0.26666666666666666,0.25,0.5434782608695652,0.2770083102493075,0.24038461538461536,0.5988023952095809,0.22883295194508008,0.19120458891013384,31.0,-0.75,1.61,2.28,206,100,0,1.0,2.0,2.0,1.0,0.0,4.0,2.0,0.0,-2.0,A,0,Stuttgart,Hoffenheim,2012-09-26
18315,0.23094688221709006,0.2857142857142857,0.5464480874316939,0.22123893805309736,0.2840909090909091,0.5494505494505494,0.2188183807439825,0.2724795640326976,0.5291005291005292,35.0,0.75,1.98,1.83,81,190,0,2.0,3.0,0.0,3.0,1.0,1.0,2.0,-1.0,-1.0,D,1,Fortuna Dusseldorf,Schalke 04,2012-09-28
18316,0.7352941176470588,0.2222222222222222,0.1111111111111111,0.7246376811594204,0.21691973969631234,0.11737089201877934,0.7352941176470588,0.1869158878504673,0.0970873786407767,31.0,-1.5,1.64,2.23,66,133,0,2.0,2.0,1.0,1.0,3.0,1.0,-1.0,1.0,0.0,H,2,Dortmund,M'gladbach,2012-09-29
18317,0.4347826086956522,0.29411764705882354,0.3333333333333333,0.4347826086956522,0.29325513196480935,0.33222591362126247,0.4115226337448559,0.27548209366391185,0.3333333333333333,32.0,-0.25,1.63,2.25,94,95,0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,-2.0,2.0,H,2,Hamburg,Hannover,2012-09-29
18318,0.5714285714285714,0.26666666666666666,0.2222222222222222,0.5681818181818182,0.27322404371584696,0.22075055187637968,0.5524861878453039,0.2570694087403599,0.21008403361344538,35.0,-0.75,1.74,2.09,100,15,0,2.0,0.0,3.0,0.0,1.0,4.0,-1.0,2.0,-1.0,D,1,Hoffenheim,Augsburg,2012-09-29
18319,0.6944444444444444,0.23094688221709006,0.14285714285714285,0.6756756756756757,0.2386634844868735,0.14771048744460857,0.6802721088435374,0.2136752136752137,0.12738853503184713,32.0,-1.0,1.67,2.19,124,91,0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,-1.0,H,2,Leverkusen,Greuther Furth,2012-09-29
18320,0.4347826086956522,0.29411764705882354,0.3333333333333333,0.4484304932735426,0.29154518950437314,0.3215434083601286,0.4291845493562232,0.2710027100271003,0.3205128205128205,34.0,-0.25,1.71,2.12,162,206,0,2.0,1.0,2.0,0.0,2.0,3.0,-1.0,2.0,-1.0,A,0,Nurnberg,Stuttgart,2012-09-29
18321,0.16666666666666666,0.25,0.6535947712418301,0.17271157167530224,0.23923444976076558,0.6493506493506493,0.1692047377326565,0.20491803278688525,0.6451612903225806,26.0,1.0,1.47,2.61,232,21,0,2.0,1.0,2.0,5.0,0.0,0.0,1.0,-3.0,2.0,A,0,Werder Bremen,Bayern Munich,2012-09-29
18322,0.5714285714285714,0.26666666666666666,0.2222222222222222,0.5747126436781609,0.26881720430107525,0.22075055187637968,0.5263157894736842,0.26246719160104987,0.23148148148148145,26.0,-0.75,1.54,2.4,71,82,0,4.0,1.0,0.0,1.0,2.0,2.0,-1.0,3.0,-2.0,H,2,Ein Frankfurt,Freiburg,2012-09-30
18323,0.47619047619047616,0.29411764705882354,0.29411764705882354,0.45248868778280543,0.29673590504451036,0.3105590062111801,0.41493775933609955,0.2857142857142857,0.3215434083601286,34.0,-0.25,1.78,2.02,237,134,0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,-1.0,A,0,Wolfsburg,Mainz,2012-09-30
18324,0.3448275862068966,0.2857142857142857,0.4347826086956522,0.3623188405797102,0.29325513196480935,0.4016064257028112,0.38759689922480617,0.27932960893854747,0.35335689045936397,33.0,0.0,1.75,2.08,15,232,0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,-2.0,1.0,H,2,Augsburg,Werder Bremen,2012-10-05
18325,0.8771929824561404,0.13333333333333333,0.058823529411764705,0.8620689655172414,0.13717421124828533,0.06060606060606061,0.8771929824561404,0.10810810810810811,0.045454545454545456,23.0,-2.25,1.36,3.0,21,100,0,5.0,0.0,0.0,2.0,1.0,2.0,-1.0,3.0,-2.0,H,2,Bayern Munich,Hoffenheim,2012-10-06
18326,0.47619047619047616,0.2857142857142857,0.30303030303030304,0.4608294930875576,0.2949852507374631,0.3048780487804878,0.49019607843137253,0.2747252747252747,0.25510204081632654,33.0,0.0,1.81,2.0,82,162,0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,H,2,Freiburg,Nurnberg,2012-10-06
18327,0.37037037037037035,0.29411764705882354,0.4,0.3623188405797102,0.30120481927710846,0.39840637450199207,0.38910505836575876,0.2824858757062147,0.3484320557491289,33.0,0.0,1.81,2.0,91,94,0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,-1.0,1.0,A,0,Greuther Furth,Hamburg,2012-10-06
